IMDb Scraper
Title;Year;Link;Description;Duration;Genre;Rating;Actors
Rain Man;1988;https://www.imdb.com/title/tt0095953/?ref_=fn_al_tt_1;After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.;2h 13m;Drama  ;8.0/10;|Dustin Hoffman|Tom Cruise|Valeria Golino|Gerald R. Molen|Jack Murdock|Michael D. Roberts|Ralph Seymour|Lucinda Jenney|Bonnie Hunt|Kim Robillard|Beth Grant|Dolan Dougherty|Marshall Dougherty|Patrick Dougherty|John-Michael Dougherty|Peter Dougherty|Andrew Dougherty|Loretta Wendt Jolivette|
Singin' in the Rain;1952;https://www.imdb.com/title/tt0045152/?ref_=fn_al_tt_2;A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.;1h 43m;Comedy Musical Romance  ;8.3/10;|Gene Kelly|Donald O'Connor|Debbie Reynolds|Jean Hagen|Millard Mitchell|Cyd Charisse|Douglas Fowley|Rita Moreno|Dawn Addams|John Albright|Betty Allen|Sue Allen|John Angelo|Marie Ardell|Bette Arlen|David Bair|Jimmy Bates|Mary Bayless|
The Rain;2018–2020;https://www.imdb.com/title/tt6656238/?ref_=fn_al_tt_3;After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.;45m;Drama Sci-Fi Thriller  ;6.3/10;|Alba August|Lucas Lynggaard Tønnesen|Mikkel Boe Følsgaard|Lukas Løkken|Natalia Rosminati|Sonny Lindberg|Johannes Kuhnke|Jessica Dinnage|Natalie Madueño|Clara Rosager|Evin Ahmad|Angela Bundalovic|Rasmus Hammerich|Rex Leonard|Cecilia Loffredo|Bertil De Lorenzi|Michael Boegebjerg|Lars Simonsen|
Rain Dogs;2023–;https://www.imdb.com/title/tt19050000/?ref_=fn_al_tt_4;An unconventional love story between a working-class single mum, her young daughter and a privileged gay man.;TV-MA;Comedy Drama  ;7.0/10;|Daisy May Cooper|Jack Farthing|Fleur Tashjian|Ronke Adekoluejo|Adrian Edmondson|Sam Hazeldine|Tom Durant Pritchard|Daniel Phung|Nick Blood|Anna Chancellor|Phoebe Thomas|Steve Toussaint|Dragos Mostenescu|Georgina Winter|Karl Pilkington|Tanya Moodie|Siobhan Redmond|Trevor Fox|
The Art of Racing in the Rain;2019;https://www.imdb.com/title/tt1478839/?ref_=fn_al_tt_5;Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.;1h 49m;Comedy Drama Romance  ;7.5/10;|Kevin Costner|Milo Ventimiglia|Jackie Minns|Marcus Hondro|Ian Lake|Andres Joseph|Gary Cole|Donald Heng|Peter Ciuffa|Matthew Kevin Anderson|Amanda Seyfried|Kathy Baker|Martin Donovan|Reva Dexter|Kasia Machelak|Nicole Anthony|Kacy Rink|Ryan Kiera Armstrong|

IMDb Scraper
Title;Year;Link;Description;Duration;Genre;Rating;Actors
Cheese in the Trap;2016;https://www.imdb.com/title/tt4741110/?ref_=fn_al_tt_1;A college student balances her studies and a part-time job with a relationship with an insecure man who manipulates others.;1h;Comedy Romance  ;7.2/10;|Park Hae-Jin|Kim Go-eun|Seo Kang-Joon|Nam Joo-hyuk|Lee Song-Kyoung|Cha Joo-young|Min-Ji Park|Ji-hye Kwak|Ye-Joo Yoon|Mark Cleave|
Cloverfield;2008;https://www.imdb.com/title/tt1060277/?ref_=fn_al_tt_2;A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.;1h 25m;Adventure Horror Sci-Fi  ;7.0/10;|Mike Vogel|Jessica Lucas|Lizzy Caplan|T.J. Miller|Michael Stahl-David|Odette Annable|Anjul Nigam|Margot Farley|Theo Rossi|Brian Klugman|Kelvin Yu|Liza Lapira|Lili Mirojnick|Ben Feldman|Elena Nikitina Bick|Vakisha Coleman|Will Greenberg|Rob Kerkovich|
Cheese in the Trap;2018;https://www.imdb.com/title/tt6886062/?ref_=fn_al_tt_3;Hong Seol is an ordinary university student. She is busy working part-time jobs to pay for her tuition fee and living expenses. Yoo Jung is her senior at the same university. He seems perfect. He comes from a wealthy family, he has a kind attitude to others and he is handsome, but Hong Seol does not feel comfortable with Yoo Jung. Suddenly, Yoo Jung comes and talks to... Read all;1h 56m;Romance  ;5.7/10;|Park Hae-Jin|Yoo In-young|Deok-hyeon Jo|Oh Jong-Hyuk|Hyun-Jin Kim|Jung-Hyuk Lee|Go Min-Si|Hye-mi Na|Gi-woong Park|Sandara Park|Oh Yeon-Seo|
